384,224
368,224
352,224
864,112
1504,480
1504,496
1248,400
1248,384
912,448
912,464
1376,160
1392,160
1408,160
1424,160
1440,160
1456,160
1472,160
1536,288
1520,288
1504,272
1488,256
1472,240
1456,240
1440,240
1424,256
1408,272
1392,288
1376,288
976,736
992,736
1008,736
1024,736
1040,736
1056,736
640,608
656,608
512,352
528,352
544,352
320,272
336,272
320,288
336,288
224,576
416,736
416,720
416,704
1168,144
1200,112
1232,80
560,80
576,80
528,224
544,224
960,496
1152,368
1168,368
1168,352
1168,336
